M/Msun,R/Rsun,T,Rho,P,L/Lsun,X,Y(He4),He3,C12,N14,O16
0.0000004,0.00161,1.55E+07,1.51E+02,2.34E+17,0,0.36462,0.62029,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000005,0.00172,1.55E+07,1.51E+02,2.34E+17,0,0.36462,0.62028,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000006,0.00182,1.55E+07,1.51E+02,2.34E+17,0.00001,0.36463,0.62027,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000007,0.00191,1.55E+07,1.51E+02,2.34E+17,0.00001,0.36464,0.62026,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000009,0.002,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36464,0.62025,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.000001,0.00208,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36465,0.62025,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000011,0.00215,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36466,0.62024,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000012,0.00222,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36466,0.62023,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000013,0.00228,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36467,0.62022,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000014,0.00235,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36468,0.62021,8.90E-06,7.79E-06,3.73E-03,6.06E-03
0.0000015,0.00241,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36468,0.6202,8.90E-06,7.80E-06,3.73E-03,6.06E-03
0.0000016,0.00246,1.55E+07,1.50E+02,2.34E+17,0.00001,0.36469,0.6202,8.90E-06,7.80E-06,3.73E-03,6.06E-03
0.0000017,0.00252,1.55E+07,1.50E+02,2.34E+17,0.00001,0.3647,0.62019,8.90E-06,7.80E-06,3.73E-03,6.07E-03
0.0000018,0.00257,1.55E+07,1.50E+02,2.34E+17,0.00002,0.3647,0.62018,8.90E-06,7.80E-06,3.73E-03,6.07E-03
0.0000019,0.00262,1.55E+07,1.50E+02,2.34E+17,0.00002,0.36471,0.62017,8.90E-06,7.80E-06,3.73E-03,6.07E-03
0.000002,0.00267,1.55E+07,1.50E+02,2.34E+17,0.00002,0.36472,0.62017,8.90E-06,7.80E-06,3.73E-03,6.07E-03
0.0000021,0.00271,1.55E+07,1.50E+02,2.34E+17,0.00002,0.36472,0.62016,8.91E-06,7.80E-06,3.73E-03,6.07E-03
0.0000023,0.00276,1.55E+07,1.50E+02,2.34E+17,0.00002,0.36473,0.62015,8.91E-06,7.80E-06,3.73E-03,6.07E-03
