R/R_sun,T_6,log10(n_e/N_A),M/M_sun,X 7Be,pp nu frac,b8 nu frac,N13 frac,O15 frac,F17 frac,Be7 frac,pep frac,hep frac
0.00041,15.476,2.011,5.99E-08,1.58E-11,3.88E-07,4.74E-06,2.83E-06,3.93E-06,4.34E-06,1.91E-06,6.07E-07,1.66E-07
0.00082,15.476,2.011,1.75E-07,1.58E-11,1.14E-06,1.39E-05,8.28E-06,1.15E-05,1.27E-05,5.59E-06,1.78E-06,4.87E-07
0.00123,15.476,2.011,2.91E-07,1.58E-11,1.89E-06,2.30E-05,1.37E-05,1.90E-05,2.10E-05,9.28E-06,2.95E-06,8.07E-07
0.00164,15.475,2.011,4.49E-07,1.58E-11,2.91E-06,3.55E-05,2.11E-05,2.93E-05,3.24E-05,1.43E-05,4.54E-06,1.25E-06
0.00205,15.475,2.011,6.69E-07,1.58E-11,4.34E-06,5.29E-05,3.15E-05,4.37E-05,4.83E-05,2.13E-05,6.78E-06,1.86E-06
0.00246,15.474,2.011,9.34E-07,1.58E-11,6.05E-06,7.37E-05,4.40E-05,6.10E-05,6.74E-05,2.97E-05,9.45E-06,2.59E-06
0.00287,15.473,2.011,1.24E-06,1.58E-11,8.05E-06,9.79E-05,5.85E-05,8.11E-05,8.96E-05,3.95E-05,1.26E-05,3.45E-06
0.00328,15.473,2.011,1.60E-06,1.58E-11,1.03E-05,1.26E-04,7.50E-05,1.04E-04,1.15E-04,5.07E-05,1.61E-05,4.43E-06
0.00369,15.472,2.011,1.99E-06,1.58E-11,1.29E-05,1.57E-04,9.35E-05,1.30E-04,1.43E-04,6.33E-05,2.02E-05,5.53E-06
0.0041,15.471,2.011,2.43E-06,1.57E-11,1.58E-05,1.91E-04,1.14E-04,1.58E-04,1.75E-04,7.73E-05,2.46E-05,6.76E-06
0.00451,15.469,2.011,2.92E-06,1.57E-11,1.89E-05,2.29E-04,1.37E-04,1.90E-04,2.09E-04,9.26E-05,2.95E-05,8.10E-06
0.00492,15.468,2.011,3.44E-06,1.57E-11,2.23E-05,2.70E-04,1.61E-04,2.24E-04,2.47E-04,1.09E-04,3.48E-05,9.57E-06
0.00533,15.467,2.011,4.01E-06,1.57E-11,2.60E-05,3.14E-04,1.88E-04,2.60E-04,2.87E-04,1.27E-04,4.06E-05,1.12E-05
0.00574,15.465,2.011,4.63E-06,1.57E-11,3.00E-05,3.61E-04,2.16E-04,3.00E-04,3.31E-04,1.47E-04,4.68E-05,1.29E-05
0.00615,15.464,2.011,5.29E-06,1.57E-11,3.43E-05,4.12E-04,2.46E-04,3.41E-04,3.77E-04,1.67E-04,5.35E-05,1.47E-05
0.00656,15.462,2.01,5.99E-06,1.57E-11,3.88E-05,4.65E-04,2.78E-04,3.86E-04,4.26E-04,1.89E-04,6.05E-05,1.67E-05
0.00697,15.46,2.01,6.73E-06,1.57E-11,4.36E-05,5.22E-04,3.12E-04,4.33E-04,4.78E-04,2.13E-04,6.81E-05,1.88E-05
0.00738,15.458,2.01,7.52E-06,1.56E-11,4.87E-05,5.81E-04,3.48E-04,4.82E-04,5.32E-04,2.37E-04,7.60E-05,2.10E-05
