m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
4e-07,0.00161,15500000.0,151.0,2.34e+17,0.0,0.36462,0.62029,8.9e-06,7.79e-06,0.00373,0.00606,15.475073170731706,2.011,4.37439024390244e-07,1.58e-11,2.835365853658537e-06,3.458536585365854e-05,2.0558536585365857e-05,2.854634146341464e-05,3.156585365853659e-05,1.3932682926829269e-05,4.423658536585366e-06,1.2175853658536588e-06
5e-07,0.00172,15500000.0,151.0,2.34e+17,0.0,0.36462,0.62028,8.9e-06,7.79e-06,0.00373,0.00606,15.475,2.011,4.919268292682926e-07,1.58e-11,3.1890243902439023e-06,3.8895121951219515e-05,2.3129268292682926e-05,3.210975609756097e-05,3.550243902439025e-05,1.5665853658536583e-05,4.977073170731707e-06,1.3690243902439024e-06
6e-07,0.00182,15500000.0,151.0,2.34e+17,1e-05,0.36463,0.62027,8.9e-06,7.79e-06,0.00373,0.00606,15.475,2.011,5.455853658536585e-07,1.58e-11,3.53780487804878e-06,4.31390243902439e-05,2.5665853658536586e-05,3.562195121951219e-05,3.9380487804878047e-05,1.7373170731707317e-05,5.523414634146341e-06,1.5178048780487804e-06
7e-07,0.00191,15500000.0,151.0,2.34e+17,1e-05,0.36464,0.62026,8.9e-06,7.79e-06,0.00373,0.00606,15.475,2.011,5.938780487804877e-07,1.58e-11,3.85170731707317e-06,4.695853658536585e-05,2.7948780487804876e-05,3.878292682926829e-05,4.287073170731707e-05,1.8909756097560973e-05,6.015121951219512e-06,1.6517073170731707e-06
9e-07,0.002,15500000.0,150.0,2.34e+17,1e-05,0.36464,0.62025,8.9e-06,7.79e-06,0.00373,0.00606,15.475,2.011,6.42170731707317e-07,1.58e-11,4.165609756097561e-06,5.0778048780487795e-05,3.0231707317073167e-05,4.194390243902439e-05,4.636097560975609e-05,2.0446341463414632e-05,6.506829268292683e-06,1.785609756097561e-06
1e-06,0.00208,15500000.0,150.0,2.34e+17,1e-05,0.36465,0.62025,8.9e-06,7.79e-06,0.00373,0.00606,15.474926829268293,2.011,6.883902439024388e-07,1.58e-11,4.465121951219511e-06,5.4421951219512174e-05,3.2414634146341455e-05,4.496585365853657e-05,4.9697560975609744e-05,2.1914634146341457e-05,6.975365853658535e-06,1.9134146341463407e-06
1.1e-06,0.00215,15500000.0,150.0,2.34e+17,1e-05,0.36466,0.62024,8.9e-06,7.79e-06,0.00373,0.00606,15.474756097560975,2.011,7.336341463414633e-07,1.58e-11,4.7570731707317065e-06,5.797317073170731e-05,3.4548780487804874e-05,4.791951219512194e-05,5.295853658536585e-05,2.3348780487804876e-05,7.431219512195121e-06,2.0380487804878047e-06
1.2e-06,0.00222,15500000.0,150.0,2.34e+17,1e-05,0.36466,0.62023,8.9e-06,7.79e-06,0.00373,0.00606,15.474585365853658,2.011,7.788780487804879e-07,1.58e-11,5.049024390243902e-06,6.152439024390245e-05,3.668292682926829e-05,5.087317073170732e-05,5.621951219512195e-05,2.4782926829268295e-05,7.887073170731709e-06,2.1626829268292687e-06
1.3e-06,0.00228,15500000.0,150.0,2.34e+17,1e-05,0.36467,0.62022,8.9e-06,7.79e-06,0.00373,0.00606,15.474439024390243,2.011,8.176585365853658e-07,1.58e-11,5.299268292682926e-06,6.456829268292683e-05,3.8512195121951216e-05,5.340487804878048e-05,5.901463414634146e-05,2.6012195121951217e-05,8.27780487804878e-06,2.269512195121951e-06
1.4e-06,0.00235,15500000.0,150.0,2.34e+17,1e-05,0.36468,0.62021,8.9e-06,7.79e-06,0.00373,0.00606,15.474268292682927,2.011,8.629024390243903e-07,1.58e-11,5.591219512195122e-06,6.811951219512196e-05,4.0646341463414635e-05,5.635853658536585e-05,6.227560975609757e-05,2.7446341463414636e-05,8.733658536585366e-06,2.394146341463415e-06
