r,l,log10(n_eN_A),m,nu B8,nu Be7,nu F17,nu hep,nu N13,nu O15,nu pep,nu pp,P,rho,T,X_7Be,X_C12,X_H,X_He3,X_He4,X_N14,X_N16
0.00161,1.00E-05,2.010848423,0.00059262,3.51E-05,1.42E-05,3.18E-05,1.22E-06,2.10E-05,2.88E-05,4.53E-06,2.92E-06,2.34E+17,150.2718265,15512900.4,1.58E-11,7.79E-06,0.364560911,8.89E-06,0.620191693,0.003730331,0.006061274
0.002592452,2.17E-05,2.011038522,0.000528054,8.13E-05,3.28E-05,7.44E-05,2.87E-06,4.85E-05,6.74E-05,1.04E-05,6.66E-06,2.34E+17,150.2319744,15508821.44,1.58E-11,7.80E-06,0.3646922,8.90E-06,0.620149277,0.003732631,0.006065092
0.003574905,3.99E-05,2.011081147,0.000465158,0.000148009,5.96E-05,0.000135462,5.22E-06,8.82E-05,0.000122699,1.90E-05,1.21E-05,2.34E+17,150.1758388,15504206.97,1.58E-11,7.80E-06,0.364874131,8.92E-06,0.620018515,0.003740583,0.006068448
0.004557357,8.34E-05,2.010995757,0.000404705,0.00023367,9.44E-05,0.000213575,8.28E-06,0.000139505,0.000193552,3.02E-05,1.93E-05,2.34E+17,150.1026628,15499057.81,1.57E-11,7.80E-06,0.365107414,8.94E-06,0.619807238,0.003739883,0.006071423
0.00553981,0.000150357,2.01080572,0.000347455,0.000338156,0.000137094,0.000309044,1.21E-05,0.000202182,0.000280115,4.38E-05,2.81E-05,2.33E+17,150.0117628,15493374.94,1.57E-11,7.80E-06,0.365392759,8.96E-06,0.619522392,0.003739924,0.006074096
0.006522262,0.00024974,2.010534022,0.000294152,0.000460998,0.000187548,0.000421758,1.65E-05,0.00027582,0.000382199,5.98E-05,3.85E-05,2.33E+17,149.9025272,15487159.46,1.57E-11,7.79E-06,0.365730876,8.99E-06,0.619170034,0.003740029,0.006076549
0.007504715,0.000377564,2.01019935,0.000245522,0.00060091,0.000245338,0.000550525,2.17E-05,0.000359604,0.000498748,7.84E-05,5.05E-05,2.33E+17,149.7744154,15480412.62,1.56E-11,7.79E-06,0.366122475,9.02E-06,0.618755334,0.003740069,0.006078861
0.008487167,0.000539142,2.009814607,0.00020228,0.000756899,0.000310159,0.000694226,2.76E-05,0.00045295,0.000628839,9.96E-05,6.40E-05,2.33E+17,149.6269564,15473135.8,1.56E-11,7.78E-06,0.366568267,9.06E-06,0.618282575,0.003740071,0.006081113
0.00946962,0.000758965,2.009387737,0.000165123,0.000928392,0.000381902,0.000852059,3.42E-05,0.000555558,0.000771868,0.000123251,7.90E-05,2.33E+17,149.4597475,15465330.54,1.56E-11,7.78E-06,0.367068962,9.10E-06,0.617755151,0.003740053,0.006083385
0.010452072,0.001013488,2.008922849,0.000134733,0.001114917,0.000460527,0.001023351,4.15E-05,0.00066721,0.000927344,0.000149312,9.56E-05,2.32E+17,149.2724525,15456998.49,1.55E-11,7.77E-06,0.36762527,9.14E-06,0.617175569,0.003740026,0.006085759
0.011434525,0.001326452,2.008421336,0.000111779,0.00131575,0.000545926,0.001207317,4.95E-05,0.000787554,0.001094648,0.000177709,0.000113897,2.32E+17,149.0648002,15448141.42,1.54E-11,7.76E-06,0.368237901,9.19E-06,0.61654545,0.003739997,0.006088316
0.012416977,0.001697426,2.007883004,9.69E-05,0.001529755,0.000637854,0.001402945,5.83E-05,0.000915991,0.001272917,0.000208378,0.000133763,2.32E+17,148.8365832,15438761.28,1.54E-11,7.76E-06,0.368907535,9.25E-06,0.615865528,0.003739971,0.006091135
0.013399429,0.002124206,2.007307126,9.08E-05,0.001755556,0.000735987,0.001609112,6.79E-05,0.001051782,0.001461155,0.000241268,0.000155213,2.31E+17,148.5876552,15428860.09,1.53E-11,7.75E-06,0.369634117,9.31E-06,0.615135836,0.003739951,0.006094248
0.014381882,0.002622898,2.006693004,9.40E-05,0.001991755,0.000840008,0.001824736,7.81E-05,0.001194178,0.001658388,0.000276346,0.000178221,2.31E+17,148.3179297,15418440.05,1.53E-11,7.74E-06,0.370416854,9.37E-06,0.61435626,0.003739936,0.006097644
0.015364334,0.003190521,2.006040035,0.00010716,0.002236956,0.000949599,0.002048757,8.90E-05,0.001342428,0.001863652,0.000313595,0.000202764,2.30E+17,148.0273776,15407503.46,1.52E-11,7.73E-06,0.371254921,9.44E-06,0.613526734,0.003739928,0.006101306
0.016346787,0.003830419,2.005347711,0.000130888,0.002489733,0.001064432,0.002280084,0.000100436,0.00149576,0.002075957,0.000352995,0.000228816,2.30E+17,147.716025,15396052.73,1.51E-11,7.72E-06,0.372147491,9.52E-06,0.612647234,0.003739928,0.00610522
0.017329239,0.004549965,2.004615613,0.000165754,0.002748603,0.001184138,0.002517548,0.000113323,0.00165336,0.002294243,0.000394516,0.000256347,2.29E+17,147.3839506,15384090.43,1.50E-11,7.71E-06,0.373093737,9.60E-06,0.611717781,0.003739935,0.006109369
0.018311692,0.00535345,2.003843407,0.000212323,0.003012006,0.001308301,0.002759867,0.000126137,0.001814357,0.002517353,0.000438111,0.000285318,2.29E+17,147.0312837,15371619.21,1.49E-11,7.70E-06,0.374092832,9.68E-06,0.610738444,0.003739948,0.00611374
0.019294144,0.0062442,2.003030841,0.00027115,0.003278314,0.001436448,0.003005644,0.000140244,0.001977827,0.002744034,0.000483709,0.000315683,2.28E+17,146.6582016,15358641.87,1.48E-11,7.69E-06,0.375143952,9.77E-06,0.609709335,0.003739967,0.006118317
0.020276597,0.007225566,2.002177742,0.000342772,0.003545864,0.001568065,0.0032534,0.000154646,0.002142811,0.002972967,0.000531219,0.000347386,2.28E+17,146.2649267,15345161.31,1.47E-11,7.68E-06,0.376246269,9.87E-06,0.608630612,0.003739989,0.006123084
0.021259049,0.008300929,2.00128401,0.000427717,0.003813026,0.001702628,0.003501653,0.000169857,0.002308365,0.003202832,0.000580541,0.000380372,2.27E+17,145.8517244,15331180.55,1.46E-11,7.67E-06,0.377398956,9.97E-06,0.607502478,0.003740014,0.006128026
0.022241502,0.009473612,2.000349615,0.000526495,0.004078272,0.001839627,0.003748985,0.000185881,0.002473591,0.003432372,0.000631578,0.000414589,2.26E+17,145.4189002,15316702.72,1.45E-11,7.65E-06,0.378601188,1.01E-05,0.606325183,0.003740039,0.006133128
0.023223954,0.01074685,1.999374595,0.000639607,0.004340188,0.001978578,0.003994066,0.000202699,0.002637656,0.003660407,0.000684238,0.00044999,2.26E+17,144.966797,15301731.05,1.44E-11,7.64E-06,0.379852138,1.02E-05,0.605099021,0.003740064,0.006138374
0.024206406,0.012123765,1.998359051,0.000767536,0.004597477,0.002119023,0.004235661,0.000220281,0.00279979,0.003885844,0.000738437,0.000486536,2.25E+17,144.4957924,15286268.91,1.43E-11,7.62E-06,0.38115098,1.03E-05,0.603824331,0.003740085,0.006143749
0.025188859,0.01360734,1.997303141,0.000910755,0.004848957,0.002260533,0.004472627,0.000238598,0.002959287,0.004107676,0.000794094,0.000524191,2.24E+17,144.0062962,15270319.74,1.42E-11,7.61E-06,0.382496887,1.04E-05,0.602501498,0.003740102,0.006149237
0.026171311,0.015200393,1.996207079,0.001069723,0.005093554,0.002402702,0.004703919,0.000257631,0.003115502,0.004324978,0.000851137,0.000562924,2.24E+17,143.4987474,15253887.11,1.41E-11,7.59E-06,0.383889033,1.05E-05,0.601130953,0.003740113,0.006154824
