m,r,T,rho,P,l,X,Y,He3,C12,N14,O16,n_e,7Be,nu pp,nu B8,nu N13,nu O15,nu F17,nu Be7,nu pep,nu hep
4.00E-07,0.00161,15500000,151,2.34E+17,1.00E-05,0.36462,0.62029,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,2.84E-06,3.46E-05,2.06E-05,2.85E-05,3.16E-05,1.39E-05,4.42E-06,1.22E-06
5.00E-07,0.00172,15500000,151,2.34E+17,1.00E-05,0.36462,0.62028,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.19E-06,3.89E-05,2.31E-05,3.21E-05,3.55E-05,1.57E-05,4.98E-06,1.37E-06
6.00E-07,0.00182,15500000,151,2.34E+17,1.00E-05,0.36463,0.62027,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.54E-06,4.31E-05,2.57E-05,3.56E-05,3.94E-05,1.74E-05,5.52E-06,1.52E-06
7.00E-07,0.00191,15500000,151,2.34E+17,1.00E-05,0.36464,0.62026,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.85E-06,4.70E-05,2.79E-05,3.88E-05,4.29E-05,1.89E-05,6.02E-06,1.65E-06
9.00E-07,0.002,15500000,150,2.34E+17,1.00E-05,0.36464,0.62025,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.17E-06,5.08E-05,3.02E-05,4.19E-05,4.64E-05,2.04E-05,6.51E-06,1.79E-06
1.00E-06,0.00208,15500000,150,2.34E+17,1.00E-05,0.36465,0.62025,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.47E-06,5.44E-05,3.24E-05,4.50E-05,4.97E-05,2.19E-05,6.98E-06,1.91E-06
1.10E-06,0.00215,15500000,150,2.34E+17,1.00E-05,0.36466,0.62024,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.76E-06,5.80E-05,3.45E-05,4.79E-05,5.30E-05,2.33E-05,7.43E-06,2.04E-06
1.20E-06,0.00222,15500000,150,2.34E+17,1.00E-05,0.36466,0.62023,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.05E-06,6.15E-05,3.67E-05,5.09E-05,5.62E-05,2.48E-05,7.89E-06,2.16E-06
1.30E-06,0.00228,15500000,150,2.34E+17,1.00E-05,0.36467,0.62022,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.30E-06,6.46E-05,3.85E-05,5.34E-05,5.90E-05,2.60E-05,8.28E-06,2.27E-06
1.40E-06,0.00235,15500000,150,2.34E+17,1.00E-05,0.36468,0.62021,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.59E-06,6.81E-05,4.06E-05,5.64E-05,6.23E-05,2.74E-05,8.73E-06,2.39E-06
1.50E-06,0.00241,15500000,150,2.34E+17,1.00E-05,0.36468,0.6202,8.90E-06,7.80E-06,0.00373,0.00606,2.011,1.58E-11,5.84E-06,7.12E-05,4.25E-05,5.89E-05,6.51E-05,2.87E-05,9.12E-06,2.50E-06
1.60E-06,0.00246,15500000,150,2.34E+17,1.00E-05,0.36469,0.6202,8.90E-06,7.80E-06,0.00373,0.00606,2.011,1.58E-11,6.05E-06,7.37E-05,4.40E-05,6.10E-05,6.74E-05,2.97E-05,9.45E-06,2.59E-06
1.70E-06,0.00252,15500000,150,2.34E+17,1.00E-05,0.3647,0.62019,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.34E-06,7.72E-05,4.61E-05,6.39E-05,7.06E-05,3.11E-05,9.91E-06,2.72E-06
1.80E-06,0.00257,15500000,150,2.34E+17,2.00E-05,0.3647,0.62018,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.59E-06,8.02E-05,4.79E-05,6.64E-05,7.34E-05,3.23E-05,1.03E-05,2.82E-06
1.90E-06,0.00262,15500000,150,2.34E+17,2.00E-05,0.36471,0.62017,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.83E-06,8.31E-05,4.97E-05,6.88E-05,7.61E-05,3.35E-05,1.07E-05,2.93E-06
